KONCESSION,Spanning,Enhet,FöretagNa,kommunkod,kommunnamn,Företagsnamn,Hemsida,Emailadress,Telefonnummer,Adress
7406Å,20,REL03030,Vattenfall Eldistribution AB,"2061",Smedjebacken,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
664CE,20,REL03035,Ellevio AB,"2061",Smedjebacken,Ellevio AB,ellevio.se,,0771-53 53 00,
118HA,20,REL00570,Västerbergslagens Elnät AB,"2061",Smedjebacken,Västerbergslagens Elnät AB,vbenergi.se,info@vbenergi.se,0240-876 00,Box 860 771 28 Ludvika
4623P,10,REL00007,Bengtsfors Energi Nät AB,"1460",Bengtsfors,Bengtsfors Energi Nät AB,bengtsforsenergi.se,energi.nat@bengtsfors.se,0531-52 61 63,"Industrigatan 10, 666 31 Bengtsfors"
7220EK,20,REL03035,Ellevio AB,"1460",Bengtsfors,Ellevio AB,ellevio.se,,0771-53 53 00,
8400AM,24,REL03030,Vattenfall Eldistribution AB,"1460",Bengtsfors,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8400AS,20,REL03030,Vattenfall Eldistribution AB,"1460",Bengtsfors,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8400AS,20,REL03030,Vattenfall Eldistribution AB,"1492",Åmål,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
380CCK,24,REL03028,E.ON Energidistribution AB,"1315",Hylte,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CIÄ,20,REL03028,E.ON Energidistribution AB,"1315",Hylte,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
7012AQ,20,REL03028,E.ON Energidistribution AB,"1315",Hylte,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CPK,20,REL03028,E.ON Energidistribution AB,"1315",Hylte,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CPX,20,REL03028,E.ON Energidistribution AB,"1315",Hylte,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
359AE,20,REL00148,Partille Energi Nät AB,"1480",Göteborg,Partille Energi Nät AB,partilleenergi.se,kundservice@partilleenergi.se,031-336 96 60,"Box 55 100, 400 53 Göteborg"
446ER,20,REL00062,Göteborg Energi Nät AB,"1480",Göteborg,Göteborg Energi Nät AB,goteborgenergi.se,,031-62 62 62,"Box 53, 401 20 Göteborg"
4791DB,22,REL00001,Ale El ek. för.,"1480",Göteborg,Ale El ek. för.,aleel.se,info@aleel.se,0303-33 24 00,"Lunnavägen 2, Box 3004, 449 14 Alafors"
6180Q,20,REL00128,Mölndal Energi Nät AB,"1480",Göteborg,Mölndal Energi Nät AB,molndalenergi.se,kundservice@molndalenergi.se,031-86 65 00,"Box 34, 431 21 Mölndal"
7212BS,40,REL00078,Härryda Energi AB,"1480",Göteborg,Härryda Energi AB,harrydaenergi.se,info@harrydaenergi.se,031-376 10 10,"Kabelvägen 2, 435 80 Mölnlycke"
754O,20,REL00100,Kungälv Energi AB,"1480",Göteborg,Kungälv Energi AB,kungalvenergi.se,info@kungalvenergi.se,0303-23 93 00,"Box 515, 442 15 Kungälv"
823JI,20,REL00106,Lerum Nät AB,"1480",Göteborg,Lerum Nät AB,lerumenergi.se,kundservice@lerumenergi.se,0302-558 50,"Elvägen 7, 443 61 Stenkullen"
8705BU,20,REL03035,Ellevio AB,"1480",Göteborg,Ellevio AB,ellevio.se,,0771-53 53 00,
380CPA,24,REL03028,E.ON Energidistribution AB,"1882",Askersund,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
418AP,25,REL03035,Ellevio AB,"1882",Askersund,Ellevio AB,ellevio.se,,0771-53 53 00,
64PR,24,REL03035,Ellevio AB,"1882",Askersund,Ellevio AB,ellevio.se,,0771-53 53 00,
731ÖFQ,20,REL03030,Vattenfall Eldistribution AB,"1882",Askersund,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8704Å,20,REL03028,E.ON Energidistribution AB,"1882",Askersund,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
4926AK,24,REL00168,Skyllbergs Bruks AB,"1882",Askersund,Skyllbergs Bruks AB,skyllbergsbruk.se,info@skyllbergsbruk.se,0583-403 00,"Brukskontoret, 694 99 Skyllberg"
4311G,20,REL03030,Vattenfall Eldistribution AB,"1463",Mark,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
435HB,20,REL03030,Vattenfall Eldistribution AB,"1463",Mark,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7001CC,20,REL00205,Varbergsortens Elkraft ek. för.,"1463",Mark,Varbergsortens Elkraft ek. för.,vbgelkraft.se,kundtjanst@vbgelkraft.se,0340-64 64 00,"Syllingevägen 17, 432 67 Veddige"
7212BS,40,REL00078,Härryda Energi AB,"1463",Mark,Härryda Energi AB,harrydaenergi.se,info@harrydaenergi.se,031-376 10 10,"Kabelvägen 2, 435 80 Mölnlycke"
8705BU,20,REL03035,Ellevio AB,"1463",Mark,Ellevio AB,ellevio.se,,0771-53 53 00,
3166BH,24,REL00184,Södra Hallands Kraft ek. för.,"1278",Båstad,Södra Hallands Kraft ek. för.,sodrahallandskraft.se,info@sodrahallandskraft.se,0430-480 00,"Box 63, 312 21 LAHOLM"
5742CH,20,REL03048,Bjäre Kraft Elnät AB,"1278",Båstad,Bjäre Kraft Elnät AB,bjarekraft.se,kundservice@bjarekraft.se,0431-44 99 00,"Profilvägen 7, 569 71 Förslöv"
713CG,20,REL03045,Öresundskraft Elnät AB,"1278",Båstad,Öresundskraft Elnät AB,oresundskraft.se,info@oresundskraft.se,042-490 30 00,"Västra sandgatan 4, 252 25 Helsingborg"
380CNV,20,REL03028,E.ON Energidistribution AB,"0682",Nässjö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
414R,20,REL00141,Nässjö Affärsverk Elnät AB,"0682",Nässjö,Nässjö Affärsverk Elnät AB,nav.se,info@nav.se,0380-51 70 00,"Tullgatan 2, 571 32 Nässjö"
638A,10,REL03060,Njudung Sävsjö Elnät AB,"0682",Nässjö,Njudung Sävsjö Elnät AB,njudung.se,info@njudung.se,0383-76 38 00,"Box 154, 574 22 Vetlanda"
1446CD,20,REL00195,Uddevalla Energi Elnät AB,"1421",Orust,Uddevalla Energi Elnät AB,uddevallaenergi.se,kundservice@uddevallaenergi.se,0522-580 800,"Strömberget, 451 81 Uddevalla"
3278AF,20,REL00242,Västra Orusts Energitjänst ek. för.,"1421",Orust,Västra Orusts Energitjänst ek. för.,voe.se,info@voe.se,0304-548 80,"Glimsåsvägen 3, 474 32 Ellös"
8400AS,20,REL03030,Vattenfall Eldistribution AB,"1421",Orust,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8705C,20,REL03035,Ellevio AB,"1421",Orust,Ellevio AB,ellevio.se,,0771-53 53 00,
403CDZ,20,REL03030,Vattenfall Eldistribution AB,"1465",Svenljunga,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
435HB,20,REL03030,Vattenfall Eldistribution AB,"1465",Svenljunga,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7012AQ,20,REL03028,E.ON Energidistribution AB,"1465",Svenljunga,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CPK,20,REL03028,E.ON Energidistribution AB,"1465",Svenljunga,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
3163BB,20,REL03035,Ellevio AB,"0486",Strängnäs,Ellevio AB,ellevio.se,,0771-53 53 00,
498AF,20,REL00186,Telge Nät AB,"0486",Strängnäs,Telge Nät AB,telgeenergi.se,nat@telge.se,08-550 233 00,"Box 633, 151 27 Södertälje"
704AS,20,REL03030,Vattenfall Eldistribution AB,"0486",Strängnäs,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖDH,20,REL03030,Vattenfall Eldistribution AB,"0486",Strängnäs,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖEP,20,REL03030,Vattenfall Eldistribution AB,"0486",Strängnäs,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7410U,20,REL00160,SEVAB Nät AB,"0486",Strängnäs,SEVAB Nät AB,sevab.com,kundservice@sevab.com,0152-460 50,"Box 32, 64521 Strängnäs"
3278AF,20,REL00242,Västra Orusts Energitjänst ek. för.,"1419",Tjörn,Västra Orusts Energitjänst ek. för.,voe.se,info@voe.se,0304-548 80,"Glimsåsvägen 3, 474 32 Ellös"
754O,20,REL00100,Kungälv Energi AB,"1419",Tjörn,Kungälv Energi AB,kungalvenergi.se,info@kungalvenergi.se,0303-23 93 00,"Box 515, 442 15 Kungälv"
8400AS,20,REL03030,Vattenfall Eldistribution AB,"1419",Tjörn,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8705C,20,REL03035,Ellevio AB,"1419",Tjörn,Ellevio AB,ellevio.se,,0771-53 53 00,
2974CE,20,REL00143,Olofströms Kraft Nät AB,"0765",Älmhult,Olofströms Kraft Nät AB,olofstromskraft.se,kund@okab.net,0454 - 980 00,"Östra Ringvägen 219, 293 40 Olofström"
380CFP,20,REL03028,E.ON Energidistribution AB,"0765",Älmhult,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CGA,20,REL03028,E.ON Energidistribution AB,"0765",Älmhult,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CGF,20,REL03028,E.ON Energidistribution AB,"0765",Älmhult,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CGÅ,20,REL03028,E.ON Energidistribution AB,"0765",Älmhult,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COR,24,REL03028,E.ON Energidistribution AB,"0765",Älmhult,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380UCp,20,REL03028,E.ON Energidistribution AB,"0765",Älmhult,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
5076A,20,REL03028,E.ON Energidistribution AB,"0765",Älmhult,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
253A,10,REL00019,Nätkraft Borås Infra AB,"1490",Borås,Nätkraft Borås Infra AB,natkraftboras.se,kund@natkraftboras.se,033-35 72 00,"Majorsgatan 5, 501 17 Borås"
2994AI,10,REL03061,Sandhult-Sandareds Elnät AB,"1490",Borås,Sandhult-Sandareds Elnät AB,ssel.se,info@ssel.se,033-23 37 55,"Hagavägen 11, 518 40 Sjömarken"
345CB,12,REL00072,Herrljunga Elektriska AB,"1490",Borås,Herrljunga Elektriska AB,el.herrljunga.se,info@el.herrljunga.se,0513-220 40,"Mariedalsgatan 3, 524 31 Herrljunga"
3909R,20,REL03044,Ulricehamns Energi Elnät AB,"1490",Borås,Ulricehamns Energi Elnät AB,ueab.se,info@ueab.se,0321-53 23 00,"Box 123, 523 23 Ulricehamn"
435HB,20,REL03030,Vattenfall Eldistribution AB,"1490",Borås,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1446CD,20,REL00195,Uddevalla Energi Elnät AB,"1487",Vänersborg,Uddevalla Energi Elnät AB,uddevallaenergi.se,kundservice@uddevallaenergi.se,0522-580 800,"Strömberget, 451 81 Uddevalla"
211CX,20,REL00191,Trollhättan Energi Elnät AB,"1487",Vänersborg,Trollhättan Energi Elnät AB,trollhattanenergi.se,kundservice@trollhattanenergi.se,020-89 90 00,"Förrådsgatan 2 Box 933, 461 29 Trollhättan"
7205EJ,20,REL00049,Grästorps Energi ek. för.,"1487",Vänersborg,Grästorps Energi ek. för.,grastorpenergi.se,kundtjanst@grastorpenergi.se,0514-105 25,"Plogvägen 5, 467 30 Grästorp"
8400AS,20,REL03030,Vattenfall Eldistribution AB,"1487",Vänersborg,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7220EK,20,REL03035,Ellevio AB,"1730",Eda,Ellevio AB,ellevio.se,,0771-53 53 00,
1274A,10,REL03047,Karlshamn Elnät AB,"1082",Karlshamn,Karlshamn Elnät AB,karlshamnenergi.se,kundservice@karlshamnenergi.se,0454-818 00,"Box 174, 374 23 Karlshamn"
2974CB,20,REL00886,Kraftringen Nät AB,"1082",Karlshamn,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
2974CE,20,REL00143,Olofströms Kraft Nät AB,"1082",Karlshamn,Olofströms Kraft Nät AB,olofstromskraft.se,kund@okab.net,0454 - 980 00,"Östra Ringvägen 219, 293 40 Olofström"
380CEO,20,REL03028,E.ON Energidistribution AB,"1082",Karlshamn,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CIÖ,20,REL03028,E.ON Energidistribution AB,"1082",Karlshamn,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380UCp,20,REL03028,E.ON Energidistribution AB,"1082",Karlshamn,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
225AF,12,REL00030,Eksjö Elnät AB,"0686",Eksjö,Eksjö Elnät AB,eksjoenergi.se,kundtjanst@eksjoenergi.se,0381-19 20 00,"Telegatan 8, 575 36 Eksjö"
380CNV,20,REL03028,E.ON Energidistribution AB,"0686",Eksjö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
368DH,20,REL00086,Jönköping Energinät AB,"0665",Vaggeryd,Jönköping Energinät AB,jonkopingenergi.se,kundservice@jonkopingenergi.se,036-10 82 00,"Box 5150, 550 05 Jönköping"
380CNV,20,REL03028,E.ON Energidistribution AB,"0665",Vaggeryd,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380UCö,20,REL03028,E.ON Energidistribution AB,"0665",Vaggeryd,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
6256AE,10,REL00235,Värnamo Elnät AB,"0665",Vaggeryd,Värnamo Elnät AB,varnamoenergi.se,kund@varnamoenergi.se,0370-69 41 00,"Box 2268, 331 02 Värnamo"
7012AQ,20,REL03028,E.ON Energidistribution AB,"0665",Vaggeryd,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
8400AP,20,REL03030,Vattenfall Eldistribution AB,"0665",Vaggeryd,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
968BB,20,REL03016,Vaggeryds Elverk AB,"0665",Vaggeryd,Vaggeryds Elverk AB,vaggerydsenergi.com,kundservice@vaggerydsenergi.se,0393-785 00,"Box 173, 567 24 Vaggeryd"
8400AS,20,REL03030,Vattenfall Eldistribution AB,"1438",Dals-Ed,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
394AR,20,REL00093,Tekniska verken Katrineholm Nät AB,"0482",Flen,Tekniska verken Katrineholm Nät AB,tekniskaverken.se,kundservice@tekniskaverken.se,0771-25 26 27,"Box 1500, 58115 Linköping"
704AS,20,REL03030,Vattenfall Eldistribution AB,"0482",Flen,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖEP,20,REL03030,Vattenfall Eldistribution AB,"0482",Flen,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖFM,20,REL03030,Vattenfall Eldistribution AB,"0482",Flen,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖFP,20,REL03030,Vattenfall Eldistribution AB,"0482",Flen,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
3568BE,24,REL00137,Nybro Elnät AB,"0821",Högsby,Nybro Elnät AB,nybroenergi.se,kundtjanst@nybroenergi.se,0481-451 76,"Nybro Energi, 382 80 Nybro"
380CFS,20,REL03028,E.ON Energidistribution AB,"0821",Högsby,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CFT,20,REL03028,E.ON Energidistribution AB,"0821",Högsby,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CGZ,20,REL03028,E.ON Energidistribution AB,"0821",Högsby,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COK,24,REL03028,E.ON Energidistribution AB,"0821",Högsby,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
6447AB,20,REL00246,Ålem Energi AB,"0821",Högsby,Ålem Energi AB,alemenergi.se,info@alemenergi.se,010-35 38 362,"Råsnäs 103, 384 71 Timmernabben"
2073Ag,20,REL03043,Karlsborgs Elnät AB,"1446",Karlsborg,Karlsborgs Elnät AB,karlsborgsenergi.se,kundservice@karlsborgsenergi.se,0505-171 00,"Västra vägen 41, 546 31 Karlsborg"
240X,20,REL00594,VänerEnergi AB,"1446",Karlsborg,VänerEnergi AB,vanerenergi.se,info@vanerenergi.se,0501-637 00,"Box 102, 542 21 Mariestad"
418AP,25,REL03035,Ellevio AB,"1446",Karlsborg,Ellevio AB,ellevio.se,,0771-53 53 00,
64PR,24,REL03035,Ellevio AB,"1446",Karlsborg,Ellevio AB,ellevio.se,,0771-53 53 00,
731ÖFQ,20,REL03030,Vattenfall Eldistribution AB,"1446",Karlsborg,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖKA,24,REL03030,Vattenfall Eldistribution AB,"1446",Karlsborg,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
834AR,20,REL00187,Tibro Elnät AB,"1446",Karlsborg,Tibro Elnät AB,tibroenergi.se,kundtjanst@tibroenergi.se,0504-44 04 40,"Fabriksgatan 10, 543 50 Tibro"
368DH,20,REL00086,Jönköping Energinät AB,"0509",Ödeshög,Jönköping Energinät AB,jonkopingenergi.se,kundservice@jonkopingenergi.se,036-10 82 00,"Box 5150, 550 05 Jönköping"
380CNV,20,REL03028,E.ON Energidistribution AB,"0509",Ödeshög,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
731ÖFQ,20,REL03030,Vattenfall Eldistribution AB,"0509",Ödeshög,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGI,20,REL03030,Vattenfall Eldistribution AB,"0509",Ödeshög,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
380CPG,20,REL03028,E.ON Energidistribution AB,"0561",Åtvidaberg,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
3160k,20,REL00043,Gislaved Energi Elnät AB,"1452",Tranemo,Gislaved Energi Elnät AB,gislavedenergi.se,kundservice@gislavedenergi.se,0371-58 91 10,"Mårtensgatan 27, 332 38 Gislaved"
403CDZ,20,REL03030,Vattenfall Eldistribution AB,"1452",Tranemo,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
435HB,20,REL03030,Vattenfall Eldistribution AB,"1452",Tranemo,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
4743Aq,20,REL03062,Östra Kinds Elnät AB,"1452",Tranemo,Östra Kinds Elnät AB,ostrakindselkraft.se,info@ostrakindselkraft.se,0321-53 02 00,"Box 6004, 514 06 Dalstorp"
7012AQ,20,REL03028,E.ON Energidistribution AB,"1452",Tranemo,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
3355BB,20,REL03035,Ellevio AB,"1764",Grums,Ellevio AB,ellevio.se,,0771-53 53 00,
7220EK,20,REL03035,Ellevio AB,"1764",Grums,Ellevio AB,ellevio.se,,0771-53 53 00,
7220EM,20,REL03035,Ellevio AB,"1764",Grums,Ellevio AB,ellevio.se,,0771-53 53 00,
8400AS,20,REL03030,Vattenfall Eldistribution AB,"1764",Grums,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
380CNV,20,REL03028,E.ON Energidistribution AB,"0512",Ydre,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
688BC,20,REL00937,Tranås Energi Elnät AB,"0512",Ydre,Tranås Energi Elnät AB,tranasenergi.se,info@tranasenergi.se,0140-692 00,"Box 386, 573 24 Tranås"
731ÖGI,20,REL03030,Vattenfall Eldistribution AB,"0512",Ydre,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
380CPG,20,REL03028,E.ON Energidistribution AB,"0512",Ydre,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
2947L,20,REL00147,Oxelö Energi AB,"0481",Oxelösund,Oxelö Energi AB,oxeloenergi.se,oxeloenergi@oxelosund.se,0155-388 40,"Sjögatan 28, 613 81 Oxelösund"
380COÅ,24,REL03028,E.ON Energidistribution AB,"0481",Oxelösund,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
731ÖFM,20,REL03030,Vattenfall Eldistribution AB,"0481",Oxelösund,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖFN,20,REL03030,Vattenfall Eldistribution AB,"0481",Oxelösund,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
418AP,25,REL03035,Ellevio AB,"1860",Laxå,Ellevio AB,ellevio.se,,0771-53 53 00,
64PR,24,REL03035,Ellevio AB,"1860",Laxå,Ellevio AB,ellevio.se,,0771-53 53 00,
731ÖFQ,20,REL03030,Vattenfall Eldistribution AB,"1860",Laxå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8704Å,20,REL03028,E.ON Energidistribution AB,"1860",Laxå,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
1446CD,20,REL00195,Uddevalla Energi Elnät AB,"1485",Uddevalla,Uddevalla Energi Elnät AB,uddevallaenergi.se,kundservice@uddevallaenergi.se,0522-580 800,"Strömberget, 451 81 Uddevalla"
2536BH,20,REL00074,Hjärtums Elförening ek för,"1485",Uddevalla,Hjärtums Elförening ek för,hjartumselforening.se,info@hjartumsel.se,0520-47 05 70,"Sannersby 115, 46392 Lilla Edet"
3278AF,20,REL00242,Västra Orusts Energitjänst ek. för.,"1485",Uddevalla,Västra Orusts Energitjänst ek. för.,voe.se,info@voe.se,0304-548 80,"Glimsåsvägen 3, 474 32 Ellös"
8400AS,20,REL03030,Vattenfall Eldistribution AB,"1485",Uddevalla,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8705BN,20,REL03035,Ellevio AB,"1485",Uddevalla,Ellevio AB,ellevio.se,,0771-53 53 00,
8705C,20,REL03035,Ellevio AB,"1485",Uddevalla,Ellevio AB,ellevio.se,,0771-53 53 00,
975AX,10,REL00121,LEVA Nät AB,"1485",Uddevalla,LEVA Nät AB,levailysekil.se,info@levailysekil.se,0523-66 78 00,"Box 36, 453 21 Lysekil"
380CNV,20,REL03028,E.ON Energidistribution AB,"0684",Sävsjö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380UCö,20,REL03028,E.ON Energidistribution AB,"0684",Sävsjö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
638A,10,REL03060,Njudung Sävsjö Elnät AB,"0684",Sävsjö,Njudung Sävsjö Elnät AB,njudung.se,info@njudung.se,0383-76 38 00,"Box 154, 574 22 Vetlanda"
2974CB,20,REL00886,Kraftringen Nät AB,"0862",Emmaboda,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
380GCt,20,REL03028,E.ON Energidistribution AB,"0862",Emmaboda,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380RBz,20,REL03028,E.ON Energidistribution AB,"0862",Emmaboda,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380ÄCc,20,REL03028,E.ON Energidistribution AB,"0862",Emmaboda,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
4504AD,20,REL00156,Rödeby Elverk ek. för.,"0862",Emmaboda,Rödeby Elverk ek. för.,rodebyelverk.net,info@rodebyelverk.net,0455-485 30,"Karlskronavägen 38, 373 43 Rödeby"
852BY,24,REL00031,Emmaboda Elnät AB,"0862",Emmaboda,Emmaboda Elnät AB,emmabodaenergi.se,info.energi@emmaboda.se,010-353 17 50,"Box 53, 361 21 Emmaboda"
731ÖEO,20,REL03030,Vattenfall Eldistribution AB,"1904",Skinnskatteberg,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7403BH,40,REL00267,Mälarenergi Elnät AB,"1904",Skinnskatteberg,Mälarenergi Elnät AB,malarenergi.se,,021-39 50 50,"Box 14, 721 03 Västerås"
118HA,20,REL00570,Västerbergslagens Elnät AB,"1904",Skinnskatteberg,Västerbergslagens Elnät AB,vbenergi.se,info@vbenergi.se,0240-876 00,Box 860 771 28 Ludvika
365DG,50,REL03028,E.ON Energidistribution AB,"1233",Vellinge,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CEH,20,REL03028,E.ON Energidistribution AB,"1233",Vellinge,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CON,24,REL03028,E.ON Energidistribution AB,"1233",Vellinge,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COQ,20,REL03028,E.ON Energidistribution AB,"1233",Vellinge,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
619AC,10,REL03019,Trelleborgs Elnät AB,"1233",Vellinge,Trelleborgs Elnät AB,trelleborgsenergi.se,kundservice@trelleborgsenergi.se,0410-73 38 00,"Rådhuset, 231 83 Trelleborg"
2348AF,20,REL00899,Kvänumsbygdens Energi ek. för.,"1470",Vara,Kvänumsbygdens Energi ek. för.,kvanumenergi.se,kundtjanst@kvanumenergi.se,0512-79 70 70,"Skaragatan 23, 535 30 Kvänum"
345CB,12,REL00072,Herrljunga Elektriska AB,"1470",Vara,Herrljunga Elektriska AB,el.herrljunga.se,info@el.herrljunga.se,0513-220 40,"Mariedalsgatan 3, 524 31 Herrljunga"
440AC,40,REL03038,Lidköping Elnät AB,"1470",Vara,Lidköping Elnät AB,lidkoping.se/lidkoping-elnat/start,lidkopingelnat@lidkoping.se,0510-77 00 00,"Skogvaktarevägen 7c, 531 53 Lidköping"
541CP,20,REL00203,Vara Energi ek. för.,"1470",Vara,Vara Energi ek. för.,varaenergi.se,info@varaenergi.se,0512-79 70 80,"Torsgatan 16, 534 31 Vara"
